gene,SRR27614996,SRR27614997,SRR27614998,SRR27614999,SRR27615000,SRR27615001,SRR27615002,SRR27615007,SRR27615008,SRR27615009,SRR27615010,SRR27615011
0610005C13Rik,0,4,0,0,0,0,0,0,0,0,0,0
0610006L08Rik,0,0,0,0,0,0,0,0,0,0,0,0
0610009E02Rik,28,11,25,13,7,30,9,21,7,14,27,35
0610009L18Rik,41,46,31,21,23,46,58,29,37,44,71,47
0610010K14Rik,197,177,172,120,65,177,111,153,164,186,217,261
0610025J13Rik,0,0,0,0,0,0,0,0,0,0,0,0
0610030E20Rik,980,902,1107,724,501,789,733,651,827,1140,1142,1268
0610031O16Rik,0,0,0,0,0,0,0,0,0,0,0,0
0610038B21Rik,10,28,28,11,8,24,12,12,14,12,28,20
0610039H22Rik,0,0,2,0,0,0,0,0,0,0,0,0
0610039K10Rik,3,0,12,0,0,0,1,8,0,0,5,2
0610040B10Rik,9,12,4,4,0,8,1,4,0,7,8,6
0610040F04Rik,6,5,4,0,4,0,10,1,0,3,0,3
0610040J01Rik,0,3,0,4,0,27,0,6,9,15,12,14
0610042G04Rik,121,205,178,143,130,191,190,136,118,186,180,179
0610043K17Rik,8,8,4,7,4,4,4,2,1,13,6,3
1100001I12Rik,0,0,0,2,0,0,0,0,0,0,0,0
1110002E22Rik,0,5,4,0,7,0,0,5,3,0,0,0
1110002J07Rik,370,348,440,271,150,305,354,213,264,406,343,393
1110002L01Rik,286,208,257,147,133,264,208,142,210,372,364,360
1110002O04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110004F10Rik,1119,782,1086,657,479,874,668,676,929,1189,1220,1156
1110006O24Rik,5,13,25,10,1,10,12,5,9,11,1,7
1110015O18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110018N20Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110019D14Rik,76,46,51,47,21,34,40,47,33,44,56,54
1110020A21Rik,3,0,0,2,1,1,3,3,0,0,3,12
1110025L11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110025M09Rik,79,52,99,49,25,83,51,37,57,77,78,83
1110028F11Rik,0,0,0,0,0,0,0,3,0,3,1,0
1110028F18Rik,3,2,4,0,0,0,0,0,2,5,4,6
1110032F04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110036E04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110038B12Rik,192,103,266,123,89,114,145,133,147,229,191,256
1110038F14Rik,348,224,349,200,172,211,218,246,274,359,362,405
1110046J04Rik,41,31,48,14,24,23,37,21,19,42,49,19
1110057P08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110058D11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110059E24Rik,277,220,230,175,106,150,140,144,167,300,290,249
1110059G10Rik,272,297,393,258,165,193,203,219,255,367,364,342
1110065P20Rik,104,79,136,72,100,75,99,69,95,172,146,228
1190005I06Rik,0,0,0,0,0,0,0,0,0,0,0,0
1190028D05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1300002E11Rik,355,228,282,170,162,232,173,173,217,260,363,328
1500002C15Rik,24,11,20,11,5,11,8,4,3,4,6,13
1500002F19Rik,20,11,11,0,4,1,6,7,4,3,5,10
1500004A13Rik,26,9,19,6,8,0,11,5,5,17,23,13
1500009L16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1500011B03Rik,311,246,288,196,139,219,189,192,244,457,346,404
1500012K07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1500015A07Rik,60,53,80,39,42,73,70,35,43,43,49,43
1500015L24Rik,0,0,1,0,0,0,0,0,0,3,0,0
1500026H17Rik,0,7,0,0,1,2,0,2,4,2,8,2
1500035N22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600002D24Rik,2,4,9,0,3,0,2,7,0,1,4,3
1600010M07Rik,54,32,53,51,25,57,67,54,51,64,111,90
1600012H06Rik,824,483,726,493,368,479,432,497,586,814,852,889
1600012P17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600014C10Rik,1890,1620,1642,1513,743,1792,1480,1248,2103,3070,2880,3210
1600014C23Rik,0,9,11,1,1,2,0,1,8,5,0,5
1600015H23Rik,0,0,1,0,0,0,1,0,0,0,0,0
1600019K03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600020E01Rik,68,73,58,44,41,76,44,59,33,45,33,41
1600023N17Rik,5,5,6,4,2,14,3,5,1,1,6,3
1600025M17Rik,0,0,1,0,0,0,0,0,0,0,0,0
1600027J07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600029I14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600029O15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001D01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001F09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001G01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001G11Rik,3,15,1,7,3,14,2,5,9,8,3,16
1700001G17Rik,0,0,0,0,1,2,0,3,0,0,3,0
1700001J03Rik,9,16,28,3,2,22,18,2,18,14,22,45
1700001J04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001J11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001K19Rik,0,0,1,0,0,0,0,0,0,0,0,0
1700001K23Rik,0,0,7,0,0,0,0,0,0,0,0,0
1700001L05Rik,68,55,95,42,31,95,48,60,64,91,50,53
1700001O22Rik,0,0,4,0,0,0,0,0,0,0,0,0
1700003C15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003D09Rik,1,7,2,0,0,2,1,4,6,8,9,2
1700003E16Rik,1,2,0,1,0,10,6,3,0,2,8,10
1700003E24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003F12Rik,10,5,5,2,1,0,1,3,5,12,4,5
1700003G18Rik,2,0,0,1,0,0,3,0,1,0,0,6
1700003H04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003I22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003L19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003M07Rik,75,55,65,50,34,52,27,47,85,110,96,127
1700003P14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700006A11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700006F04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700006H20Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700006H21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700006J14Rik,6,9,12,4,5,8,8,4,3,9,12,9
1700007E05Rik,0,0,0,0,0,0,0,1,0,0,0,0
1700007F19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700007J10Rik,0,0,3,0,0,0,0,0,0,0,0,0
1700007L15Rik,28,30,27,22,7,21,10,18,19,26,29,11
1700007P06Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700008C04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700008J07Rik,20,10,46,2,5,17,9,30,13,19,22,17
1700008K24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700008O03Rik,0,1,13,4,0,0,0,0,3,8,7,5
1700008P02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700009C05Rik,0,0,0,0,0,1,0,0,0,0,0,0
1700009J07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700009N14Rik,0,0,0,2,0,0,0,0,0,0,0,0
1700010B08Rik,0,0,0,0,0,0,0,0,7,0,0,3
1700010D01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700010G06Rik,7,19,6,0,2,9,1,9,3,2,1,2
1700010H22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700010I02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700010I14Rik,97,91,98,62,45,73,50,61,57,123,98,177
1700010J16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700010K23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700010L04Rik,0,0,4,1,0,0,0,0,0,0,1,0
1700010N08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700011B04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700011C11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700011L22Rik,2,0,0,0,1,0,0,0,0,0,1,4
1700012A03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012B07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012B09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012C14Rik,2,0,0,0,0,0,0,0,0,0,0,0
1700012D01Rik,14,25,27,11,2,6,14,11,8,11,8,11
1700012D16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012H19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012I11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012J15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700013D24Rik,0,0,0,0,0,0,0,0,0,0,0,1
1700013G24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700013H16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700013N06Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700014L14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700015C15Rik,3,0,0,1,0,0,2,4,2,1,0,0
1700015I17Rik,4,5,9,2,7,6,3,2,0,8,6,0
1700016A09Rik,17,15,19,14,4,9,8,7,5,13,2,7
1700016B01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700016C19Rik,0,1,0,0,0,0,0,0,0,0,0,0
1700016G22Rik,7,8,1,2,3,0,1,3,1,0,2,0
1700016H13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700016J18Rik,0,2,16,0,0,0,1,2,0,3,0,2
1700016K05Rik,0,0,4,0,0,0,0,0,0,0,0,0
1700016L04Rik,1,0,4,0,0,3,0,0,2,3,0,0
1700016L21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700016P04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700017B05Rik,8224,5449,8652,4712,3742,6310,4544,4984,4909,7805,7189,8437
1700017G19Rik,0,0,0,0,0,0,0,5,0,1,0,0
1700017J07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700017L05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700017M07Rik,2,0,0,0,0,3,2,0,0,0,3,0
1700017N19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700018A04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700018A23Rik,0,0,0,0,0,0,0,0,0,1,0,1
