gene,WT-1_S1,WT-2_S2,WT-3_S3,WT-AC-1_S4,WT-AC-2_S5,WT-AC-3_S6
0610005C13Rik,115.83,69.5,116.5,77,93,102.33
0610006L08Rik,0,0,0,0,1,0
0610009E02Rik,852,808,737,633.5,1165.5,1146.5
0610009L18Rik,92.5,112,150,106,181.5,151
0610010K14Rik,2846.5,1988,2638,1919.5,1909,1800.5
0610025J13Rik,0,0,0,0,0,1
0610030E20Rik,2998.5,2541.5,4173,3226,4209,3432
0610031O16Rik,0,0,0,0,0,0
0610038B21Rik,68,65,79.5,76.5,52.5,58.5
0610039H22Rik,14,7,11,4.5,6,3
0610039K10Rik,1336.5,1114,1772.5,1666,1432,1569.75
0610040B10Rik,20,27,32,24,16.5,34
0610040F04Rik,763,517.5,937,1376,1426.5,1642.83
0610040J01Rik,337.5,216,367,222.5,174,202.5
0610042G04Rik,283.5,271,389,279,528.5,307.5
0610043K17Rik,24.5,29.5,31.5,20.83,26.5,35.5
1100001I12Rik,0,0,0,0,1,2
1110002E22Rik,0.5,1.5,0,0,2.5,1
1110002J07Rik,122,99,249,851,2664,730
1110002L01Rik,195.5,181,292.5,155,223.5,240
1110002O04Rik,0,1,0,0,1,0
1110004F10Rik,3983,2663,4027.5,3103.17,3520.5,3324.33
1110006O24Rik,47,38,58,25.5,30,28
1110015O18Rik,0,0,0,0,0,0
1110018N20Rik,6,5.5,1.83,5,7,28.5
1110019D14Rik,202.5,202.5,294,133,197.5,179
1110020A21Rik,10,16,24,15,4,8.5
1110025L11Rik,0,0,0,0,0,0
1110025M09Rik,651,636,1040.5,562,536.5,632
1110028F11Rik,0,0,0.5,0.5,0.5,0
1110028F18Rik,0,0,0.5,1,0,1
1110032F04Rik,2,0,0,1,12,1
1110036E04Rik,1,0,0,0,1,1
1110038B12Rik,750.5,750.5,743.5,787.5,1412,1034
1110038F14Rik,1522.5,1181,1459.5,923,914,1009
1110046J04Rik,11.83,13,14,6.5,11.83,16.83
1110057P08Rik,0,0,0,0,0,0
1110058D11Rik,0,0,0.5,0,0,0
1110059E24Rik,437.5,432.5,395,277,400.5,446.5
1110059G10Rik,971,906,1001,654,567.5,583.5
1110065P20Rik,406.5,315,334.5,281,330,290.5
1190005I06Rik,10,9,11.5,1.5,5.5,4
1190028D05Rik,1,0,0,0,0,0
1300002E11Rik,487,452,456,285,345,418
1500002C15Rik,690.33,578.83,759.67,594.5,559.83,418.5
1500002F19Rik,1523.5,1310,1830,1243.5,1226.5,1303
1500004A13Rik,415.08,325.75,481,305.58,371.25,426.53
1500009L16Rik,2,7,0,2,4,3
1500011B03Rik,579.5,511,730,297,326.5,272
1500012K07Rik,3,3.5,0,1.5,1,0
1500015A07Rik,58.5,64,108.5,57.5,137,97
1500015L24Rik,0,0,1,2,2,1
1500026H17Rik,3,6,8,3,3,4
1500035N22Rik,6,4.5,6,3.5,3.5,11
1600002D24Rik,5,3,7,20,42.17,14.5
1600010M07Rik,373.5,421,459.5,322,281.5,248.5
1600012H06Rik,2331,2091.5,2812,2049.83,2307.83,2020.5
1600012P17Rik,0,0,0,0,0,0
1600014C10Rik,2820,1943,2590,1905.5,2201.5,2002
1600014C23Rik,0,0,0,2.33,4.5,1
1600015H23Rik,0,0,0,0,0,0
1600019K03Rik,0.5,0,0,0,0,0
1600020E01Rik,132.5,137.5,215,179,387.5,314
1600023N17Rik,8,5,2,1,3,1
1600025M17Rik,0,0,0,0,0,0
1600027J07Rik,0,0,0,0,0,0
1600029I14Rik,2.5,3,0,2.5,0.5,4
1600029O15Rik,2,2,3,3,2,2
1700001D01Rik,0.5,0,1,0,0,0
1700001F09Rik,0,0,0,0,0,0
1700001G01Rik,0,0,0,2,0,0
1700001G11Rik,52,57,84,41,64.5,47.5
1700001G17Rik,10,8,11,6,4,3
1700001J03Rik,13,17,23,17,18,26
1700001J04Rik,0,0,0,0,0,0
1700001J11Rik,0,0,0,0,0,0
1700001K19Rik,49,39,37,44,50,59
1700001K23Rik,295,329,421,209,134,260
1700001L05Rik,148.83,114.5,205.33,150,257,266.33
1700001O22Rik,6,2.5,3,9,5,5
1700003C15Rik,0,0,0,0,0,0
1700003D09Rik,0,0.5,0,0,1,0.5
1700003E16Rik,24,33,24,11,5,28
1700003E24Rik,0,0,0,0,0,0
1700003F12Rik,7,8.5,10,8,5,16
1700003G18Rik,1,0,1.5,1.17,2,0.33
1700003H04Rik,2,0,0,0,0,0
1700003I22Rik,0,0,0,0,0,0
1700003L19Rik,0,0,0,0,0,0
1700003M07Rik,8.5,7,6.5,15,4,23
1700003P14Rik,0,1,1,0,0.5,2
1700006A11Rik,0,0,0,0,1,0
1700006F04Rik,0,0,0,0,0,0
1700006H20Rik,4,3.5,2.5,2,1,2.5
1700006H21Rik,0,0,0,0,0,0
1700006J14Rik,125.67,146.33,148.5,100,79.33,241.67
1700007E05Rik,0,0,0,0,0,0
1700007F19Rik,0.5,0,0,1,0,0
1700007J10Rik,211.5,222,317,259.5,344,397
1700007L15Rik,53,41,38,59,45,44
1700007P06Rik,0,0,0,0,0,0
1700008C04Rik,0,0,0,1,2,1
1700008J07Rik,208.5,169.5,248,191.5,230,286
1700008K24Rik,0,0,0,0,0,0
1700008O03Rik,26,20.5,26,13,23.5,33.5
1700008P02Rik,0,0,0,0,0,0
1700009C05Rik,0,0,0,0,0,1
1700009J07Rik,0,0,0,0,0,0
1700009N14Rik,0,0,0,1,0,0
1700010B08Rik,0,0,0,0,0,0
1700010D01Rik,0,0,0,0,0,0
1700010G06Rik,2,1,2.5,2,1,1
1700010H22Rik,0,0,0,0,0,0
1700010I02Rik,0,0,0,1,0,0
1700010I14Rik,167,119,193,81,65,106.33
1700010J16Rik,0,1,0.5,2,2,1
1700010K23Rik,0,0,0,0,0,0
1700010L04Rik,1,0,1,0,0,0
1700010N08Rik,0,0,0,0,0,0
1700011B04Rik,1,2,2,2,3,2
1700011C11Rik,3.5,1,2,0,2,2
1700011L22Rik,8.5,9.5,27.5,46,54,43.5
1700012A03Rik,0,0,0,0,2,0
1700012B07Rik,1.5,4,1,0.5,3,1
1700012B09Rik,0,1,2,72,365,43
1700012C14Rik,0,1,0,0,0,0
1700012D01Rik,42,24,35.5,40.5,33,31.5
1700012D16Rik,0,0,0,0,0,0
1700012H19Rik,0,0,0,0,0,0
1700012I11Rik,2,1,1,2,4,0
1700012J15Rik,2,0,0,0,0,0
1700013D24Rik,0,6,3,3,4,5
1700013G24Rik,0,0,0,0,0,0
1700013H16Rik,0,0,0,0,1,0
1700013N06Rik,0,1,0,0,0,0
1700014L14Rik,1,0,1,0,0,0
1700015C15Rik,9,9,36,15.5,20.5,44
1700015I17Rik,0,0,0,2,3,2
1700016A09Rik,26,26,46.5,23.5,24.5,37
1700016B01Rik,1,0,1,0,1,0
1700016C19Rik,0,1,0,0,0,0
1700016G22Rik,0,1,1,0,13,2
1700016H13Rik,0,0,1,0,0,0
